sample_key,modalities,original_effective_duration_sec,text_sequence_length,audio_observation_length,video_observation_length,alignment_mode,alignment_granularity,text_av_time_mapping_status,feature_dims_json,output_file
-UacrmKiTn4$_$4,text|audio|video,4.733333,14,464,142,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UacrmKiTn4___4.npz
-UuX1xuaiiE$_$0,text|audio|video,3.700000,9,353,109,TRI_MODAL_WORD_VALID,word,word_valid,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UuX1xuaiiE___0.npz
-UuX1xuaiiE$_$1,text|audio|video,10.333333,27,1022,309,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UuX1xuaiiE___1.npz
-UuX1xuaiiE$_$3,text|audio|video,4.100000,9,399,123,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UuX1xuaiiE___3.npz
-UuX1xuaiiE$_$6,text|audio|video,8.100000,22,790,240,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-UuX1xuaiiE___6.npz
-a55Q6RWvTA$_$3,text|audio|video,22.133333,65,2204,664,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-a55Q6RWvTA___3.npz
-aNfi7CP8vM$_$7,text|audio|video,8.666667,18,849,257,TRI_MODAL_WORD_VALID,word,word_valid,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-aNfi7CP8vM___7.npz
-aqamKhZ1Ec$_$0,text|audio|video,11.000000,14,1085,329,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-aqamKhZ1Ec___0.npz
-dxfTGcXJoc$_$0,text|audio|video,20.533333,40,2037,615,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-dxfTGcXJoc___0.npz
-dxfTGcXJoc$_$1,text|audio|video,16.133333,36,1597,482,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-dxfTGcXJoc___1.npz
-dxfTGcXJoc$_$2,text|audio|video,16.666667,34,1659,500,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-dxfTGcXJoc___2.npz
-dxfTGcXJoc$_$6,text|audio|video,12.733333,27,1258,381,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-dxfTGcXJoc___6.npz
-egA8-b7-3M$_$1,text|audio|video,10.233333,20,1011,306,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___1.npz
-egA8-b7-3M$_$13,text|audio|video,4.166667,11,398,123,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___13.npz
-egA8-b7-3M$_$16,text|audio|video,5.533333,11,544,166,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___16.npz
-egA8-b7-3M$_$17,text|audio|video,7.266667,16,705,215,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___17.npz
-egA8-b7-3M$_$18,text|audio|video,8.366667,22,822,250,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___18.npz
-egA8-b7-3M$_$20,text|audio|video,6.633333,20,643,196,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___20.npz
-egA8-b7-3M$_$26,text|audio|video,6.000000,15,588,179,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___26.npz
-egA8-b7-3M$_$6,text|audio|video,6.233333,12,614,187,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___6.npz
-egA8-b7-3M$_$9,text|audio|video,5.066667,10,489,150,TRI_MODAL_WORD_VALID,word,word_valid,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-egA8-b7-3M___9.npz
-hnBHBN8p5A$_$6,text|audio|video,6.381367,13,629,153,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-hnBHBN8p5A___6.npz
-hnBHBN8p5A$_$7,text|audio|video,7.340667,13,726,176,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-hnBHBN8p5A___7.npz
-iRBcNs9oI8$_$3,text|audio|video,5.605600,8,549,167,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-iRBcNs9oI8___3.npz
-iRBcNs9oI8$_$6,text|audio|video,2.869533,5,278,85,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-iRBcNs9oI8___6.npz
-iRBcNs9oI8$_$7,text|audio|video,4.070733,9,396,120,AV_VALID_TEXT_UNALIGNED,clip,unavailable,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-iRBcNs9oI8___7.npz
-iRBcNs9oI8$_$8,text|audio|video,8.074733,21,798,241,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-iRBcNs9oI8___8.npz
-iRBcNs9oI8$_$9,text|audio|video,3.403400,5,333,102,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-iRBcNs9oI8___9.npz
-lzEya4AM_4$_$5,text|audio|video,7.666667,19,752,229,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-lzEya4AM_4___5.npz
-lzEya4AM_4$_$6,text|audio|video,14.766667,43,1470,443,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-lzEya4AM_4___6.npz
-mJ2ud6oKI8$_$1,text|audio|video,6.072733,13,601,182,TRI_MODAL_WITH_AUDIO_CONTENT_INVALID,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-mJ2ud6oKI8___1.npz
-mJ2ud6oKI8$_$2,text|audio|video,5.705700,11,566,171,TRI_MODAL_WITH_AUDIO_CONTENT_INVALID,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-mJ2ud6oKI8___2.npz
-mJ2ud6oKI8$_$6,text|audio|video,2.235567,5,218,67,AV_VALID_TEXT_UNALIGNED,clip,unavailable,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-mJ2ud6oKI8___6.npz
-mJ2ud6oKI8$_$8,text|audio|video,4.171375,11,413,125,AV_VALID_TEXT_UNALIGNED,clip,unavailable,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-mJ2ud6oKI8___8.npz
-mJ2ud6oKI8$_$9,text|audio|video,7.007000,22,686,208,AV_VALID_TEXT_UNALIGNED,clip,unavailable,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-mJ2ud6oKI8___9.npz
-mqbVkbCndg$_$0,text|audio|video,6.500000,12,634,194,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-mqbVkbCndg___0.npz
-qDkUB0GgYY$_$6,text|audio|video,4.666667,16,457,140,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-qDkUB0GgYY___6.npz
-ri04Z7vwnc$_$0,text|audio|video,2.794467,8,272,67,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-ri04Z7vwnc___0.npz
-ri04Z7vwnc$_$2,text|audio|video,6.005989,16,587,143,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-ri04Z7vwnc___2.npz
-ri04Z7vwnc$_$5,text|audio|video,3.503500,8,339,83,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-ri04Z7vwnc___5.npz
-s9qJ7ATP7w$_$0,text|audio|video,6.866667,24,667,204,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___0.npz
-s9qJ7ATP7w$_$1,text|audio|video,4.766667,11,460,140,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___1.npz
-s9qJ7ATP7w$_$4,text|audio|video,4.400000,9,420,129,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___4.npz
-s9qJ7ATP7w$_$5,text|audio|video,8.533333,19,835,253,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___5.npz
-s9qJ7ATP7w$_$6,text|audio|video,2.466667,5,227,71,TRI_MODAL_WORD_VALID,word,word_valid,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___6.npz
-s9qJ7ATP7w$_$7,text|audio|video,6.933333,28,679,207,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___7.npz
-s9qJ7ATP7w$_$8,text|audio|video,3.266667,12,314,97,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-s9qJ7ATP7w___8.npz
-t217m2on-s$_$2,text|audio|video,5.666667,12,559,170,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-t217m2on-s___2.npz
-t217m2on-s$_$7,text|audio|video,17.166667,45,1698,512,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-t217m2on-s___7.npz
-tANM6ETl_M$_$3,text|audio|video,6.733333,22,656,200,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-tANM6ETl_M___3.npz
-tPCytz4rww$_$10,text|audio|video,4.766667,12,463,142,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-tPCytz4rww___10.npz
-tPCytz4rww$_$11,text|audio|video,5.466667,17,533,164,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-tPCytz4rww___11.npz
-tPCytz4rww$_$12,text|audio|video,11.833333,26,1169,353,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-tPCytz4rww___12.npz
-tPCytz4rww$_$16,text|audio|video,7.200000,16,709,216,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-tPCytz4rww___16.npz
-tPCytz4rww$_$18,text|audio|video,6.633333,16,652,199,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-tPCytz4rww___18.npz
-uywlfIYOS8$_$4,text|audio|video,6.033333,18,584,179,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-uywlfIYOS8___4.npz
-vxjVxOeScU$_$4,text|audio|video,9.100000,21,899,272,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-vxjVxOeScU___4.npz
-wMB_hJL-3o$_$7,text|audio|video,6.033333,22,593,181,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wMB_hJL-3o___7.npz
-wny0OAz3g8$_$0,text|audio|video,3.333333,9,323,100,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___0.npz
-wny0OAz3g8$_$1,text|audio|video,6.833333,22,673,205,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___1.npz
-wny0OAz3g8$_$2,text|audio|video,6.666667,23,648,197,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___2.npz
-wny0OAz3g8$_$3,text|audio|video,6.133333,20,605,184,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___3.npz
-wny0OAz3g8$_$5,text|audio|video,6.900000,20,670,204,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___5.npz
-wny0OAz3g8$_$7,text|audio|video,8.066667,29,787,240,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___7.npz
-wny0OAz3g8$_$9,text|audio|video,6.200000,20,600,183,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-wny0OAz3g8___9.npz
-yRb-Jum7EQ$_$1,text|audio|video,29.266667,49,2906,875,UNCERTAIN_REVIEW,clip,clip_only,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",features/-yRb-Jum7EQ___1.npz
